Book,Type,Price,Stocks,Review
A Light in the Attic,Poetry,£51.77,22,3
Tipping the Velvet,Historical Fiction,£53.74,20,1
Soumission,Fiction,£50.10,20,1
Sharp Objects,Mystery,£47.82,20,4
Sapiens: A Brief History of Humankind,History,£54.23,20,5
The Requiem Red,Young Adult,£22.65,19,1
The Dirty Little Secrets of Getting Your Dream Job,Business,£33.34,19,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,£17.93,19,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,£22.60,19,4
The Black Maria,Poetry,£52.15,19,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,£13.99,19,2
Shakespeare's Sonnets,Poetry,£20.66,19,4
Set Me Free,Young Adult,£17.46,19,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,£52.29,19,5
Rip it Up and Start Again,Music,£35.02,19,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,£57.25,19,3
Olio,Poetry,£23.88,19,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,£37.59,19,1
Libertarianism for Beginners,Politics,£51.33,19,2
It's Only the Himalayas,Travel,£45.17,19,2
In Her Wake,Thriller,£12.84,19,1
How Music Works,Music,£37.32,19,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,£30.52,19,3
Chase Me (Paris Nights #2),Romance,£25.27,19,5
Black Dust,Romance,£34.53,19,5
Birdsong: A Story in Pictures,Childrens,£54.64,19,3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,£22.50,19,3
Aladdin and His Wonderful Lamp,Default,£53.13,19,3
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,£40.30,18,5
Wall and Piece,Art,£44.18,18,4
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,£17.66,18,5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,£31.05,18,3
The Elephant Tree,Thriller,£23.82,18,5
The Bear and the Piano,Childrens,£36.89,18,1
Sophie's World,Philosophy,£15.94,18,5
Penny Maybe,Default,£33.29,18,3
Maude (1883-1993):She Grew Up with the country,Default,£18.02,18,2
"In a Dark, Dark Wood",Mystery,£19.63,18,1
Behind Closed Doors,Thriller,£52.22,18,4
You can't bury them all: Poems,Poetry,£33.63,17,2
Slow States of Collapse: Poems,Poetry,£57.31,17,3
Reasons to Stay Alive,Nonfiction,£26.41,17,2
Private Paris (Private #10),Fiction,£47.61,17,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,£23.11,17,5
Without Borders (Wanderlove #1),New Adult,£45.07,16,2
When We Collided,Contemporary,£31.77,16,1
"We Love You, Charlie Freeman",Fiction,£50.27,16,5
Untitled Collection: Sabbath Poems 2014,Poetry,£14.27,16,4
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,£44.18,16,4
Unicorn Tracks,Fantasy,£18.78,16,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,£25.52,16,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,£16.28,16,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,£31.12,16,3
This One Summer,Sequential Art,£19.49,16,4
Thirst,Fiction,£17.27,16,5
The Torch Is Passed: A Harding Family Story,Add a comment,£19.09,16,1
The Secret of Dreadwillow Carse,Childrens,£56.13,16,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,£56.41,16,1
The Past Never Ends,Mystery,£56.50,16,4
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,£45.22,16,3
The Nameless City (The Nameless City #1),Sequential Art,£38.16,16,4
The Murder That Never Was (Forensic Instincts #5),Fiction,£54.11,16,3
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,£42.96,16,4
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,£23.89,16,4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,£16.77,16,3
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,£20.59,16,5
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,£37.13,16,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,£56.06,16,1
The Death of Humanity: and the Case for Life,Philosophy,£58.11,16,4
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,£49.05,16,3
The Art Forger,Add a comment,£40.76,16,3
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,£19.73,16,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,£32.24,16,5
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,£41.83,16,4
Soul Reader,Default,£39.58,16,2
Security,Horror,£39.25,16,2
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,£25.02,16,3
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,£51.04,16,2
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,£19.83,16,2
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,£50.40,16,3
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,£13.61,16,5
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,£13.34,16,5
"Pop Gun War, Volume 1: Gift",Sequential Art,£18.97,16,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,£36.28,16,2
Patience,Sequential Art,£10.16,16,3
