Book,Type,Price,Stocks,Review,total_value
The Dirty Little Secrets of Getting Your Dream Job,Business,£33.34,19,4,633.46
The Third Wave: An Entrepreneur’s Vision of the Future,Business,£12.61,15,5,189.14999999999998
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,£27.55,15,3,413.25
Shoe Dog: A Memoir by the Creator of NIKE,Business,£23.99,15,2,359.84999999999997
Made to Stick: Why Some Ideas Survive and Others Die,Business,£38.85,14,5,543.9
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Business,£43.14,12,1,517.6800000000001
The Art of Startup Fundraising,Business,£21.00,11,3,231.0
Born for This: How to Find the Work You Were Meant to Do,Business,£21.59,11,5,237.49
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Business,£36.91,8,1,295.28
"Rich Dad, Poor Dad",Business,£51.74,7,1,362.18
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Business,£33.92,3,3,101.76
Rework,Business,£44.88,3,2,134.64000000000001
