Book,Type,Price,Stocks,Review,total_value
Birdsong: A Story in Pictures,Childrens,£54.64,19,3,1038.16
The Bear and the Piano,Childrens,£36.89,18,1,664.02
The Secret of Dreadwillow Carse,Childrens,£56.13,16,1,898.08
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Childrens,£58.08,15,4,871.1999999999999
Little Red,Childrens,£13.47,15,3,202.05
Walt Disney's Alice in Wonderland,Childrens,£12.96,14,5,181.44
Twenty Yawns,Childrens,£22.08,14,2,309.12
Rain Fish,Childrens,£23.57,14,3,329.98
Once Was a Time,Childrens,£18.28,14,2,255.92000000000002
Luis Paints the World,Childrens,£53.95,14,3,755.3000000000001
Nap-a-Roo,Childrens,£25.08,9,1,225.71999999999997
The Whale,Childrens,£35.96,7,4,251.72
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,£52.87,7,3,370.09
Raymie Nightingale,Childrens,£34.41,7,2,240.86999999999998
Playing from the Heart,Childrens,£32.38,7,1,226.66000000000003
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,£22.54,5,1,112.69999999999999
The Wild Robot,Childrens,£56.07,3,3,168.21
The Thing About Jellyfish,Childrens,£48.77,3,1,146.31
The Lonely Ones,Childrens,£43.59,3,5,130.77
The Day the Crayons Came Home (Crayons),Childrens,£26.33,3,5,78.99
The Cat in the Hat (Beginner Books B-1),Childrens,£16.26,3,2,48.78
Red: The True Story of Red Riding Hood,Childrens,£28.54,3,3,85.62
Horrible Bear!,Childrens,£37.52,3,2,112.56
Green Eggs and Ham (Beginner Books B-16),Childrens,£10.79,3,4,32.37
Counting Thyme,Childrens,£10.62,3,1,31.86
Are We There Yet?,Childrens,£10.66,3,3,31.98
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Childrens,£52.88,2,4,105.76
Matilda,Childrens,£28.34,1,1,28.34
Charlie and the Chocolate Factory (Charlie Bucket #1),Childrens,£22.85,1,3,22.85
