Book,Type,Price,Stocks,Review,total_value
The Secret Garden,Classics,£15.08,5,4,75.4
The Metamorphosis,Classics,£28.58,5,1,142.89999999999998
The Pilgrim's Progress,Classics,£50.26,4,2,201.04
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,£14.82,4,2,59.28
Little Women (Little Women #1),Classics,£28.07,4,4,112.28
Gone with the Wind,Classics,£32.49,4,3,129.96
Candide,Classics,£58.63,4,3,234.52
Animal Farm,Classics,£57.22,4,3,228.88
Wuthering Heights,Classics,£17.73,3,3,53.19
The Picture of Dorian Gray,Classics,£29.70,3,2,89.1
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,£26.78,3,4,80.34
Beowulf,Classics,£38.35,3,2,115.05000000000001
And Then There Were None,Classics,£35.01,3,2,105.03
The Story of Hong Gildong,Classics,£43.19,1,4,43.19
The Little Prince,Classics,£45.42,1,2,45.42
Sense and Sensibility,Classics,£37.46,1,1,37.46
Of Mice and Men,Classics,£47.11,1,2,47.11
Emma,Classics,£32.93,1,2,32.93
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,£55.53,1,1,55.53
