Book,Type,Price,Stocks,Review,total_value
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,£17.93,19,3,340.67
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,£22.60,19,4,429.40000000000003
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,£13.99,19,2,265.81
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,£22.50,19,3,427.5
Aladdin and His Wonderful Lamp,Default,£53.13,19,3,1009.47
Penny Maybe,Default,£33.29,18,3,599.22
Maude (1883-1993):She Grew Up with the country,Default,£18.02,18,2,324.36
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,£20.59,16,5,329.44
Soul Reader,Default,£39.58,16,2,633.28
Bossypants,Default,£49.46,16,2,791.36
A World of Flavor: Your Gluten Free Passport,Default,£42.95,16,1,687.2
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,£56.76,16,5,908.16
Tracing Numbers on a Train,Default,£41.60,15,3,624.0
Thirteen Reasons Why,Default,£52.72,15,1,790.8
The Secret (The Secret #1),Default,£27.37,15,4,410.55
The Psychopath Test: A Journey Through the Madness Industry,Default,£36.00,15,2,540.0
The Kite Runner,Default,£41.82,15,4,627.3
The Girl on the Train,Default,£55.02,15,2,825.3000000000001
The Emerald Mystery,Default,£23.15,15,2,347.25
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,£32.00,15,3,480.0
The Art of War,Default,£33.34,15,5,500.1
Secrets and Lace (Fatal Hearts #1),Default,£20.27,15,1,304.05
Romero and Juliet: A Tragic Tale of Love and Zombies,Default,£36.94,15,1,554.0999999999999
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,£41.06,15,1,615.9000000000001
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),Default,£10.76,15,1,161.4
Large Print Heart of the Pride,Default,£19.15,15,2,287.25
Grumbles,Default,£22.16,15,2,332.4
First Steps for New Christians (Print Edition),Default,£29.00,15,1,435.0
Eureka Trivia 6.0,Default,£54.59,15,4,818.85
Drive: The Surprising Truth About What Motivates Us,Default,£34.95,15,4,524.25
Done Rubbed Out (Reightman & Bailey #1),Default,£37.72,15,5,565.8
Beauty Restored (Riley Family Legacy Novellas #3),Default,£11.11,15,2,166.64999999999998
Ayumi's Violin,Default,£15.48,15,2,232.20000000000002
Anonymous,Default,£46.82,15,4,702.3
Amy Meets the Saints and Sages,Default,£18.46,15,3,276.90000000000003
Amatus,Default,£50.54,15,5,758.1
V for Vendetta (V for Vendetta Complete),Default,£37.10,14,4,519.4
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Default,£45.95,14,2,643.3000000000001
The Wright Brothers,Default,£56.80,14,4,795.1999999999999
The Songs of the Gods,Default,£44.48,14,5,622.7199999999999
The Rosie Project (Don Tillman #1),Default,£54.04,14,1,756.56
The Power of Habit: Why We Do What We Do in Life and Business,Default,£16.88,14,3,236.32
Steve Jobs,Default,£39.50,14,5,553.0
Luckiest Girl Alive,Default,£49.83,14,3,697.62
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Default,£46.91,14,4,656.74
Lady Midnight (The Dark Artifices #1),Default,£16.28,14,5,227.92000000000002
"Hush, Hush (Hush, Hush #1)",Default,£47.02,14,3,658.2800000000001
Greek Mythic History,Default,£10.23,14,5,143.22
Every Last Word,Default,£46.47,14,3,650.5799999999999
Daily Fantasy Sports,Default,£36.58,14,1,512.12
Clockwork Angel (The Infernal Devices #1),Default,£44.14,14,1,617.96
City of Fallen Angels (The Mortal Instruments #4),Default,£11.23,14,4,157.22
City of Bones (The Mortal Instruments #1),Default,£43.28,14,1,605.9200000000001
City of Ashes (The Mortal Instruments #2),Default,£47.27,14,1,661.7800000000001
"Carry On, Warrior: Thoughts on Life Unarmed",Default,£31.85,14,3,445.90000000000003
Carrie,Default,£46.23,14,2,647.2199999999999
Angels & Demons (Robert Langdon #1),Default,£51.48,14,3,720.7199999999999
"The Three Searches, Meaning, and the Story",Default,£13.33,13,3,173.29
Raspberry Pi Electronics Projects for the Evil Genius,Default,£49.67,12,4,596.04
How to Speak Golf: An Illustrated Guide to Links Lingo,Default,£58.32,12,5,699.84
Eleanor & Park,Default,£56.51,12,5,678.12
Troublemaker: Surviving Hollywood and Scientology,Default,£48.39,11,2,532.29
Adultery,Default,£20.88,11,5,229.67999999999998
Unlimited Intuition Now,Default,£58.87,9,4,529.8299999999999
Underlying Notes,Default,£11.82,9,2,106.38
The New Brand You: Your New Image Makes the Sale for You,Default,£44.05,9,5,396.45
The Flowers Lied,Default,£16.68,9,2,150.12
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",Default,£10.41,9,4,93.69
Modern Day Fables,Default,£47.44,9,2,426.96
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),Default,£43.62,8,5,348.96
The Martian (The Martian #1),Default,£41.39,8,2,331.12
Left Behind (Left Behind #1),Default,£40.72,8,2,325.76
John Vassos: Industrial Design for Modern Life,Default,£20.22,8,4,161.76
I'll Give You the Sun,Default,£56.48,8,1,451.84
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Default,£52.86,8,2,422.88
Ender's Game (The Ender Quintet #1),Default,£43.64,8,1,349.12
Death by Leisure: A Cautionary Tale,Default,£37.51,8,4,300.08
Wildlife of New York: A Five-Borough Coloring Book,Default,£22.14,7,2,154.98000000000002
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,Default,£34.72,7,1,243.04
The Great Gatsby,Default,£36.05,7,4,252.34999999999997
The Good Girl,Default,£49.03,7,3,343.21000000000004
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Default,£33.17,7,4,232.19
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Default,£20.90,7,2,146.29999999999998
Life of Pi,Default,£13.22,7,4,92.54
The Sound Of Love,Default,£57.84,6,5,347.04
The Perks of Being a Wallflower,Default,£55.02,6,3,330.12
The Makings of a Fatherless Child,Default,£31.58,6,2,189.48
The Hobbit (Middle-Earth Universe),Default,£17.80,6,5,106.80000000000001
The Fellowship of the Ring (The Lord of the Rings #1),Default,£10.27,6,2,61.62
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,Default,£30.60,6,3,183.60000000000002
Musicophilia: Tales of Music and the Brain,Default,£46.58,6,1,279.48
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Default,£53.68,5,4,268.4
The Fault in Our Stars,Default,£47.22,5,1,236.1
The Dream Thieves (The Raven Cycle #2),Default,£34.50,5,1,172.5
The 5th Wave (The 5th Wave #1),Default,£11.83,5,2,59.15
Shiver (The Wolves of Mercy Falls #1),Default,£16.23,5,5,81.15
Remember Me?,Default,£11.48,5,3,57.400000000000006
If I Stay (If I Stay #1),Default,£38.13,5,5,190.65
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Default,£36.55,5,2,182.75
Harry Potter and the Deathly Hallows (Harry Potter #7),Default,£23.32,5,1,116.6
Fool Me Once,Default,£16.96,5,1,84.80000000000001
Drama,Default,£38.70,5,2,193.5
"Blue Lily, Lily Blue (The Raven Cycle #3)",Default,£34.13,5,5,170.65
Alight (The Generations Trilogy #2),Default,£58.59,5,4,292.95000000000005
Vogue Colors A to Z: A Fashion Coloring Book,Default,£52.35,4,4,209.4
The Shining (The Shining #1),Default,£27.88,4,3,111.52
The Hunger Games (The Hunger Games #1),Default,£29.85,4,5,119.4
Outlander (Outlander #1),Default,£19.67,4,5,78.68
Mockingjay (The Hunger Games #3),Default,£20.44,4,4,81.76
Harry Potter and the Sorcerer's Stone (Harry Potter #1),Default,£13.90,4,3,55.6
Confessions of a Shopaholic (Shopaholic #1),Default,£48.94,4,2,195.76
Zero History (Blue Ant #3),Default,£34.77,3,1,104.31
World War Z: An Oral History of the Zombie War,Default,£21.80,3,1,65.4
Wild: From Lost to Found on the Pacific Crest Trail,Default,£46.02,3,3,138.06
"Where'd You Go, Bernadette",Default,£18.13,3,1,54.39
Twilight (Twilight #1),Default,£41.93,3,2,125.78999999999999
The Paris Wife,Default,£36.80,3,3,110.39999999999999
The Maze Runner (The Maze Runner #1),Default,£20.93,3,1,62.79
The Lover's Dictionary,Default,£58.09,3,2,174.27
The Goldfinch,Default,£43.58,3,3,130.74
The Giver (The Giver Quartet #1),Default,£12.30,3,1,36.900000000000006
The Girl Who Played with Fire (Millennium Trilogy #2),Default,£22.14,3,2,66.42
The Demon-Haunted World: Science as a Candle in the Dark,Default,£52.25,3,4,156.75
The Book Thief,Default,£53.49,3,2,160.47
The Autobiography of Malcolm X,Default,£23.43,3,2,70.28999999999999
Shopaholic & Baby (Shopaholic #5),Default,£46.45,3,2,139.35000000000002
Quiet: The Power of Introverts in a World That Can't Stop Talking,Default,£43.55,3,1,130.64999999999998
Packing for Mars: The Curious Science of Life in the Void,Default,£56.68,3,2,170.04
Orange Is the New Black,Default,£24.61,3,2,73.83
One for the Money (Stephanie Plum #1),Default,£32.87,3,2,98.60999999999999
Morning Star (Red Rising #3),Default,£29.40,3,1,88.19999999999999
Life After Life,Default,£26.13,3,2,78.39
"Lean In: Women, Work, and the Will to Lead",Default,£25.02,3,1,75.06
Is Everyone Hanging Out Without Me? (And Other Concerns),Default,£20.11,3,3,60.33
Gone Girl,Default,£37.60,3,5,112.80000000000001
Fellside,Default,£38.62,3,1,115.85999999999999
Eclipse (Twilight #3),Default,£18.74,3,1,56.22
Dracula,Default,£52.62,3,3,157.85999999999999
Dead Wake: The Last Crossing of the Lusitania,Default,£39.24,3,5,117.72
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Default,£17.81,3,1,53.42999999999999
Dark Places,Default,£23.90,3,5,71.69999999999999
Breaking Dawn (Twilight #4),Default,£35.28,3,5,105.84
Beautiful Creatures (Caster Chronicles #1),Default,£21.55,3,5,64.65
A Visit from the Goon Squad,Default,£14.08,3,5,42.24
The Zombie Room,Default,£19.69,1,5,19.69
The Name of the Wind (The Kingkiller Chronicle #1),Default,£50.59,1,3,50.59
Taking Shots (Assassins #1),Default,£18.88,1,2,18.88
Shatter Me (Shatter Me #1),Default,£42.40,1,1,42.4
Paradise Lost (Paradise #1),Default,£24.96,1,1,24.96
On the Road (Duluoz Legend),Default,£32.36,1,3,32.36
Jane Eyre,Default,£38.43,1,5,38.43
Frankenstein,Default,£38.00,1,2,38.0
