Book,Type,Price,Stocks,Review,total_value
Soumission,Fiction,£50.10,20,1,1002.0
Private Paris (Private #10),Fiction,£47.61,17,5,809.37
"We Love You, Charlie Freeman",Fiction,£50.27,16,5,804.32
Thirst,Fiction,£17.27,16,5,276.32
The Murder That Never Was (Forensic Instincts #5),Fiction,£54.11,16,3,865.76
Tuesday Nights in 1980,Fiction,£21.04,15,2,315.59999999999997
The Vacationers,Fiction,£42.15,15,4,632.25
The Regional Office Is Under Attack!,Fiction,£51.36,15,5,770.4
Finders Keepers (Bill Hodges Trilogy #2),Fiction,£53.53,15,5,802.95
The Time Keeper,Fiction,£27.88,14,5,390.32
The Testament of Mary,Fiction,£52.67,14,4,737.38
The First Hostage (J.B. Collins #2),Fiction,£25.85,14,3,361.90000000000003
Take Me with You,Fiction,£45.21,14,3,632.94
Still Life with Bread Crumbs,Fiction,£26.41,14,3,369.74
Shtum,Fiction,£55.84,14,4,781.76
My Name Is Lucy Barton,Fiction,£41.56,14,1,581.84
My Mrs. Brown,Fiction,£24.48,14,3,342.72
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,£28.90,14,1,404.59999999999997
I Am Pilgrim (Pilgrim #1),Fiction,£10.60,14,4,148.4
Eligible (The Austen Project #4),Fiction,£27.09,14,3,379.26
Eight Hundred Grapes,Fiction,£14.39,14,4,201.46
Dear Mr. Knightley,Fiction,£11.21,14,5,156.94
Cometh the Hour (The Clifton Chronicles #6),Fiction,£25.01,14,3,350.14000000000004
Balloon Animals,Fiction,£17.03,14,3,238.42000000000002
A Man Called Ove,Fiction,£39.72,14,1,556.0799999999999
The Silent Sister (Riley MacPherson #1),Fiction,£46.29,12,5,555.48
The Dinner Party,Fiction,£56.54,12,2,678.48
The Improbability of Love,Fiction,£59.45,11,1,653.95
Mothering Sunday,Fiction,£13.34,11,2,146.74
Lies and Other Acts of Love,Fiction,£45.14,11,1,496.54
Daredevils,Fiction,£16.34,11,3,179.74
11/22/63,Fiction,£48.48,11,3,533.28
The Shack,Fiction,£28.03,9,1,252.27
The High Mountains of Portugal,Fiction,£51.15,8,1,409.2
Miller's Valley,Fiction,£58.54,8,2,468.32
Hystopia: A Novel,Fiction,£21.96,8,4,175.68
The Bourne Identity (Jason Bourne #1),Fiction,£42.78,7,4,299.46000000000004
Sister Dear,Fiction,£40.20,7,4,281.40000000000003
Memoirs of a Geisha,Fiction,£49.67,7,3,347.69
Me Before You (Me Before You #1),Fiction,£19.02,6,1,114.12
Deception Point,Fiction,£40.32,6,4,241.92000000000002
The Little Paris Bookshop,Fiction,£24.73,5,3,123.65
The Firm,Fiction,£45.56,5,3,227.8
The Expatriates,Fiction,£44.58,5,2,222.89999999999998
Siddhartha,Fiction,£34.22,5,5,171.1
Last One Home (New Beginnings #1),Fiction,£59.98,5,3,299.9
Digital Fortress,Fiction,£58.00,5,5,290.0
Atlas Shrugged,Fiction,£26.58,4,5,106.32
Three-Martini Lunch,Fiction,£23.21,3,3,69.63
The Nightingale,Fiction,£26.26,3,4,78.78
The Infinities,Fiction,£27.41,3,1,82.23
The Husband's Secret,Fiction,£52.51,3,5,157.53
The Da Vinci Code (Robert Langdon #2),Fiction,£22.96,3,2,68.88
The Art of Fielding,Fiction,£22.10,3,1,66.30000000000001
Lila (Gilead #3),Fiction,£12.47,3,3,37.410000000000004
Jurassic Park (Jurassic Park #1),Fiction,£44.97,3,1,134.91
Inferno (Robert Langdon #4),Fiction,£41.00,3,5,123.0
Crazy Rich Asians (Crazy Rich Asians #1),Fiction,£49.13,3,5,147.39000000000001
Big Little Lies,Fiction,£22.11,3,1,66.33
The Course of Love,Fiction,£16.78,2,3,33.56
When I'm Gone,Fiction,£51.96,1,3,51.96
The Silent Wife,Fiction,£12.34,1,5,12.34
The Bette Davis Club,Fiction,£30.66,1,3,30.66
Kitchens of the Great Midwest,Fiction,£57.20,1,5,57.2
Bright Lines,Fiction,£39.07,1,5,39.07
