Book,Type,Price,Stocks,Review,total_value
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,£30.52,19,3,579.88
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,£56.41,16,1,902.56
My Paris Kitchen: Recipes and Stories,Food and Drink,£33.37,16,2,533.92
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,£14.02,16,4,224.32
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,£40.11,16,1,641.76
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,£37.34,15,5,560.1
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,£37.60,15,2,564.0
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,£41.25,15,1,618.75
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,£42.16,15,3,632.4
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Food and Drink,£28.77,14,3,402.78
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Food and Drink,£19.55,14,1,273.7
Barefoot Contessa Back to Basics,Food and Drink,£28.01,14,1,392.14000000000004
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Food and Drink,£50.62,14,5,708.68
My Kitchen Year: 136 Recipes That Saved My Life,Food and Drink,£11.53,13,2,149.89
Everyday Italian: 125 Simple and Delicious Recipes,Food and Drink,£20.10,12,5,241.20000000000002
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,£38.77,12,1,465.24
Cravings: Recipes for What You Want to Eat,Food and Drink,£20.50,11,3,225.5
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Food and Drink,£12.34,9,4,111.06
32 Yolks,Food and Drink,£53.63,8,2,429.04
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Food and Drink,£11.38,7,5,79.66000000000001
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),Food and Drink,£46.01,7,4,322.07
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Food and Drink,£28.25,7,2,197.75
The Barefoot Contessa Cookbook,Food and Drink,£59.92,6,5,359.52
Better Homes and Gardens New Cook Book,Food and Drink,£39.61,6,3,237.66
The Power Greens Cookbook: 140 Delicious Superfood Recipes,Food and Drink,£11.05,5,5,55.25
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,Food and Drink,£24.91,5,5,124.55
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,Food and Drink,£13.66,3,2,40.980000000000004
The Smitten Kitchen Cookbook,Food and Drink,£23.59,3,1,70.77
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",Food and Drink,£34.32,3,3,102.96000000000001
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,Food and Drink,£33.14,3,3,99.42
