Book,Type,Price,Stocks,Review,total_value
Tipping the Velvet,Historical Fiction,£53.74,20,1,1074.8
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,£29.69,16,3,475.04
A Flight of Arrows (The Pathfinders #2),Historical Fiction,£55.53,16,5,888.48
The House by the Lake,Historical Fiction,£36.95,15,1,554.25
Mrs. Houdini,Historical Fiction,£30.25,15,5,453.75
The Marriage of Opposites,Historical Fiction,£28.08,14,4,393.12
Glory over Everything: Beyond The Kitchen House,Historical Fiction,£45.84,14,3,641.76
"Love, Lies and Spies",Historical Fiction,£20.55,12,2,246.60000000000002
A Paris Apartment,Historical Fiction,£39.01,12,4,468.12
Lilac Girls,Historical Fiction,£17.28,11,2,190.08
The Constant Princess (The Tudor Court #1),Historical Fiction,£16.62,7,3,116.34
The Invention of Wings,Historical Fiction,£37.34,6,1,224.04000000000002
World Without End (The Pillars of the Earth #2),Historical Fiction,£32.97,5,4,164.85
The Passion of Dolssa,Historical Fiction,£28.32,4,5,113.28
Girl With a Pearl Earring,Historical Fiction,£26.77,4,1,107.08
Voyager (Outlander #3),Historical Fiction,£21.07,3,5,63.21
The Red Tent,Historical Fiction,£35.66,3,5,106.97999999999999
The Last Painting of Sara de Vos,Historical Fiction,£55.55,3,2,166.64999999999998
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,£49.53,3,1,148.59
Girl in the Blue Coat,Historical Fiction,£46.83,3,2,140.49
Between Shades of Gray,Historical Fiction,£20.79,3,5,62.37
While You Were Mine,Historical Fiction,£41.32,1,5,41.32
The Secret Healer,Historical Fiction,£34.56,1,3,34.56
Starlark,Historical Fiction,£25.83,1,3,25.83
Lost Among the Living,Historical Fiction,£27.70,1,4,27.7
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,£16.97,1,5,16.97
