Book,Type,Price,Stocks,Review,total_value
Sapiens: A Brief History of Humankind,History,£54.23,20,5,1084.6
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,£25.52,16,1,408.32
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,£19.73,16,1,315.68
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,£36.28,16,2,580.48
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,£59.64,15,1,894.6
Zealot: The Life and Times of Jesus of Nazareth,History,£24.70,14,3,345.8
A Distant Mirror: The Calamitous 14th Century,History,£14.58,14,3,204.12
1491: New Revelations of the Americas Before Columbus,History,£21.80,14,3,305.2
Brilliant Beacons: A History of the American Lighthouse,History,£11.45,8,3,91.6
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",History,£44.48,8,5,355.84
A Short History of Nearly Everything,History,£52.40,7,5,366.8
The Rise and Fall of the Third Reich: A History of Nazi Germany,History,£39.67,6,2,238.02
Catherine the Great: Portrait of a Woman,History,£58.55,6,4,351.29999999999995
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,History,£42.91,5,5,214.54999999999998
The Hiding Place,History,£55.91,5,4,279.54999999999995
America's War for the Greater Middle East: A Military History,History,£51.22,5,2,256.1
The Guns of August,History,£14.54,3,2,43.62
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",History,£43.70,3,2,131.10000000000002
