Book,Type,Price,Stocks,Review,total_value
Security,Horror,£39.25,16,2,628.0
Follow You Home,Horror,£21.36,15,1,320.4
The Loney,Horror,£23.40,14,1,327.59999999999997
Pet Sematary,Horror,£10.56,14,3,147.84
Doctor Sleep (The Shining #2),Horror,£40.12,14,2,561.68
Psycho: Sanitarium (Psycho #1.5),Horror,£36.97,12,5,443.64
Can You Keep a Secret? (Fear Street Relaunch #4),Horror,£48.64,12,1,583.6800000000001
Red Dragon (Hannibal Lecter #1),Horror,£23.37,5,3,116.85000000000001
Dracula the Un-Dead,Horror,£35.63,5,5,178.15
Night Shift (Night Shift #1-20),Horror,£12.75,4,4,51.0
Needful Things,Horror,£47.51,4,4,190.04
Misery,Horror,£34.79,4,2,139.16
It,Horror,£25.01,4,3,100.04
'Salem's Lot,Horror,£49.56,4,4,198.24
The Stand,Horror,£57.86,3,2,173.57999999999998
The Girl with All the Gifts,Horror,£49.47,3,3,148.41
House of Leaves,Horror,£54.89,3,1,164.67000000000002
