Book,Type,Price,Stocks,Review,total_value
The Long Haul (Diary of a Wimpy Kid #9),Humor,£44.07,14,1,616.98
Old School (Diary of a Wimpy Kid #10),Humor,£11.83,14,5,165.62
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Humor,£25.98,14,4,363.72
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor,£14.75,14,5,206.5
Dress Your Family in Corduroy and Denim,Humor,£43.68,9,3,393.12
Toddlers Are A**holes: It's Not Your Fault,Humor,£25.55,7,1,178.85
When You Are Engulfed in Flames,Humor,£30.89,3,5,92.67
Naked,Humor,£31.69,3,3,95.07000000000001
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Humor,£55.50,3,5,166.5
Holidays on Ice,Humor,£51.07,3,2,153.21
