Book,Type,Price,Stocks,Review,total_value
Rip it Up and Start Again,Music,£35.02,19,5,665.3800000000001
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,£57.25,19,3,1087.75
How Music Works,Music,£37.32,19,2,709.08
Love Is a Mix Tape (Music #1),Music,£18.03,14,1,252.42000000000002
Please Kill Me: The Uncensored Oral History of Punk,Music,£31.19,8,4,249.52
Kill 'Em and Leave: Searching for James Brown and the American Soul,Music,£45.05,8,5,360.4
"Chronicles, Vol. 1",Music,£52.60,7,2,368.2
This Is Your Brain on Music: The Science of a Human Obsession,Music,£38.40,5,1,192.0
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",Music,£12.36,4,3,49.44
No One Here Gets Out Alive,Music,£20.02,4,5,80.08
Life,Music,£31.58,2,5,63.16
Old Records Never Die: One Man's Quest for His Vinyl and His Past,Music,£55.66,1,2,55.66
Forever Rockers (The Rocker #12),Music,£28.80,1,3,28.8
