Book,Type,Price,Stocks,Review,total_value
Sharp Objects,Mystery,£47.82,20,4,956.4
"In a Dark, Dark Wood",Mystery,£19.63,18,1,353.34
The Past Never Ends,Mystery,£56.50,16,4,904.0
A Murder in Time,Mystery,£16.64,16,1,266.24
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,£44.10,15,4,661.5
The Last Mile (Amos Decker #2),Mystery,£54.21,14,2,758.94
That Darkness (Gardiner and Renner #1),Mystery,£13.92,14,1,194.88
Tastes Like Fear (DI Marnie Rome #3),Mystery,£10.69,14,1,149.66
A Time of Torment (Charlie Parker #14),Mystery,£48.35,14,5,676.9
A Study in Scarlet (Sherlock Holmes #1),Mystery,£16.73,14,2,234.22
Poisonous (Max Revere Novels #3),Mystery,£26.80,12,3,321.6
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,£54.36,12,4,652.3199999999999
Most Wanted,Mystery,£35.28,12,3,423.36
Hide Away (Eve Duncan #20),Mystery,£11.84,12,1,142.07999999999998
Boar Island (Anna Pigeon #19),Mystery,£59.48,12,3,713.76
The Widow,Mystery,£27.26,11,2,299.86
Playing with Fire,Mystery,£13.71,11,3,150.81
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,£25.37,7,5,177.59
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,£52.30,7,5,366.09999999999997
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,£20.89,7,4,146.23000000000002
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,£24.80,6,4,148.8
In the Woods (Dublin Murder Squad #1),Mystery,£38.38,6,2,230.28000000000003
The Silkworm (Cormoran Strike #2),Mystery,£23.05,3,5,69.15
The Exiled,Mystery,£43.45,3,3,130.35000000000002
The Cuckoo's Calling (Cormoran Strike #1),Mystery,£19.21,3,1,57.63
Extreme Prey (Lucas Davenport #26),Mystery,£25.40,3,3,76.19999999999999
Career of Evil (Cormoran Strike #3),Mystery,£24.72,3,2,74.16
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,£57.70,1,4,57.7
The Girl You Lost,Mystery,£12.29,1,5,12.29
The Girl In The Ice (DCI Erika Foster #1),Mystery,£15.85,1,3,15.85
Blood Defense (Samantha Brinkman #1),Mystery,£20.30,1,3,20.3
1st to Die (Women's Murder Club #1),Mystery,£53.98,1,1,53.98
