Book,Type,Price,Stocks,Review,total_value
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,£40.30,18,5,725.4
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,£31.05,18,3,558.9
Reasons to Stay Alive,Nonfiction,£26.41,17,2,448.97
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,£23.11,17,5,392.87
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,£44.18,16,4,706.88
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,£31.12,16,3,497.92
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,£16.77,16,3,268.32
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,£37.13,16,1,594.08
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,£56.06,16,1,896.96
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,£41.83,16,4,669.28
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,£19.83,16,2,317.28
In the Country We Love: My Family Divided,Nonfiction,£22.00,16,4,352.0
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,£54.35,16,2,869.6
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,£29.14,16,5,466.24
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,£30.81,16,1,492.96
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,£43.54,15,2,653.1
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,£38.21,15,2,573.15
The Genius of Birds,Nonfiction,£17.24,15,1,258.59999999999997
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,£38.49,15,5,577.35
So You've Been Publicly Shamed,Nonfiction,£12.23,15,2,183.45000000000002
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,£19.43,15,3,291.45
Big Magic: Creative Living Beyond Fear,Nonfiction,£30.80,15,3,462.0
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,£27.43,15,2,411.45
Agnostic: A Spirited Manifesto,Nonfiction,£12.51,15,5,187.65
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,£38.20,14,4,534.8000000000001
What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,£19.60,14,2,274.40000000000003
The Year of Magical Thinking,Nonfiction,£43.04,14,2,602.56
The Literature Book (Big Ideas Simply Explained),Nonfiction,£17.43,14,3,244.01999999999998
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,Nonfiction,£15.77,14,1,220.78
Swell: A Year of Waves,Nonfiction,£45.58,14,1,638.12
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,£21.95,14,2,307.3
Looking for Lovely: Collecting the Moments that Matter,Nonfiction,£29.14,14,5,407.96000000000004
Let It Out: A Journey Through Journaling,Nonfiction,£26.79,14,5,375.06
Hamilton: The Revolution,Nonfiction,£58.79,14,3,823.06
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,£15.06,14,4,210.84
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,£51.75,14,5,724.5
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,£37.80,14,4,529.1999999999999
Brain on Fire: My Month of Madness,Nonfiction,£49.32,14,5,690.48
Abstract City,Nonfiction,£56.37,14,5,789.18
13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,£27.06,13,1,351.78
The Lonely City: Adventures in the Art of Being Alone,Nonfiction,£33.26,12,2,399.12
The Diary of a Young Girl,Nonfiction,£59.90,12,3,718.8
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,£21.21,12,3,254.52
Furiously Happy: A Funny Book About Horrible Things,Nonfiction,£41.46,12,4,497.52
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,£11.68,11,4,128.48
"Mother, Can You Not?",Nonfiction,£16.89,11,5,185.79000000000002
A Mother's Reckoning: Living in the Aftermath of Tragedy,Nonfiction,£19.53,11,3,214.83
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,£24.57,10,2,245.7
