Book,Type,Price,Stocks,Review,total_value
Sophie's World,Philosophy,£15.94,18,5,286.92
The Death of Humanity: and the Case for Life,Philosophy,£58.11,16,4,929.76
The Stranger,Philosophy,£17.44,15,4,261.6
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,£54.21,8,1,433.68
Kierkegaard: A Christian Missionary to Christians,Philosophy,£47.13,8,1,377.04
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,£29.93,7,5,209.51
Critique of Pure Reason,Philosophy,£20.75,5,1,103.75
"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,£20.02,2,1,40.04
The Nicomachean Ethics,Philosophy,£36.34,1,1,36.34
Meditations,Philosophy,£25.89,1,2,25.89
Beyond Good and Evil,Philosophy,£43.38,1,1,43.38
