Book,Type,Price,Stocks,Review,total_value
A Light in the Attic,Poetry,£51.77,22,3,1138.94
The Black Maria,Poetry,£52.15,19,1,990.85
Shakespeare's Sonnets,Poetry,£20.66,19,4,392.54
Olio,Poetry,£23.88,19,1,453.71999999999997
You can't bury them all: Poems,Poetry,£33.63,17,2,571.71
Slow States of Collapse: Poems,Poetry,£57.31,17,3,974.27
Untitled Collection: Sabbath Poems 2014,Poetry,£14.27,16,4,228.32
Poems That Make Grown Women Cry,Poetry,£14.19,15,4,212.85
Night Sky with Exit Wounds,Poetry,£41.05,15,1,615.75
salt.,Poetry,£46.78,14,4,654.9200000000001
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,£50.89,14,5,712.46
Out of Print: City Lights Spotlight No. 14,Poetry,£53.64,8,5,429.12
Les Fleurs du Mal,Poetry,£29.04,8,5,232.32
Howl and Other Poems,Poetry,£40.45,8,2,323.6
Leave This Song Behind: Teen Poetry at Its Best,Poetry,£51.17,7,5,358.19
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,£15.42,6,5,92.52
The Crossover,Poetry,£38.77,5,4,193.85000000000002
Booked,Poetry,£17.49,5,5,87.44999999999999
Twenty Love Poems and a Song of Despair,Poetry,£30.95,1,4,30.95
