Book,Type,Price,Stocks,Review,total_value
Chase Me (Paris Nights #2),Romance,£25.27,19,5,480.13
Black Dust,Romance,£34.53,19,5,656.07
Her Backup Boyfriend (The Sorensen Family #1),Romance,£33.97,16,1,543.52
First and First (Five Boroughs #3),Romance,£15.97,16,4,255.52
Fifty Shades Darker (Fifty Shades #2),Romance,£21.96,16,1,351.36
The Wedding Dress,Romance,£24.12,15,1,361.8
Suddenly in Love (Lake Haven #1),Romance,£55.99,15,2,839.85
Something More Than This,Romance,£16.24,15,4,243.59999999999997
Doing It Over (Most Likely To #1),Romance,£35.61,15,3,534.15
The Wedding Pact (The O'Malleys #2),Romance,£32.61,14,3,456.53999999999996
Hold Your Breath (Search and Rescue #1),Romance,£28.82,14,1,403.48
Dirty (Dive Bar #1),Romance,£40.83,12,4,489.96
Take Me Home Tonight (Rock Star Romance #3),Romance,£53.98,11,3,593.78
Off the Hook (Fishing for Trouble #1),Romance,£47.67,11,3,524.37
A Gentleman's Position (Society of Gentlemen #3),Romance,£14.75,11,5,162.25
"Sit, Stay, Love",Romance,£20.90,7,3,146.29999999999998
A Girl's Guide to Moving On (New Beginnings #2),Romance,£31.30,5,1,156.5
The Perfect Play (Play by Play #1),Romance,£59.99,4,3,239.96
Dark Lover (Black Dagger Brotherhood #1),Romance,£12.87,4,1,51.48
Changing the Game (Play by Play #2),Romance,£13.38,4,3,53.52
A Walk to Remember,Romance,£56.43,4,1,225.72
The Purest Hook (Second Circle Tattoos #3),Romance,£12.25,3,1,36.75
The Obsession,Romance,£45.43,3,1,136.29
Reservations for Two,Romance,£11.10,3,3,33.3
Best of My Love (Fool's Gold #20),Romance,£27.41,3,2,82.23
Where Lightning Strikes (Bleeding Stars #3),Romance,£39.77,1,3,39.77
This One Moment (Pushing Limits #1),Romance,£48.71,1,1,48.71
"Rhythm, Chord & Malykhin",Romance,£28.34,1,2,28.34
My Perfect Mistake (Over the Top #1),Romance,£38.92,1,2,38.92
Listen to Me (Fusion #1),Romance,£58.99,1,3,58.99
Imperfect Harmony,Romance,£34.74,1,4,34.74
Fighting Fate (Fighting #6),Romance,£39.24,1,3,39.24
Deep Under (Walker Security #1),Romance,£47.09,1,5,47.09
Charity's Cross (Charles Towne Belles #4),Romance,£41.24,1,1,41.24
Bounty (Colorado Mountain #7),Romance,£37.26,1,4,37.26
