Book,Type,Price,Stocks,Review,total_value
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,£42.96,16,4,687.36
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,£57.36,16,5,917.76
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,£44.74,14,4,626.36
Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,£37.55,12,1,450.59999999999997
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Science,£55.91,9,1,503.18999999999994
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Science,£28.41,8,1,227.28
The Origin of Species,Science,£10.01,7,4,70.07
The Grand Design,Science,£13.76,5,3,68.8
Peak: Secrets from the New Science of Expertise,Science,£16.28,5,2,81.4
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Science,£13.03,3,4,39.089999999999996
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Science,£57.35,3,5,172.05
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Science,£25.83,3,2,77.49
Seven Brief Lessons on Physics,Science,£30.60,3,4,91.80000000000001
The Selfish Gene,Science,£29.45,1,1,29.45
