Book,Type,Price,Stocks,Review,total_value
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,£52.29,19,5,993.51
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,£16.28,16,1,260.48
This One Summer,Sequential Art,£19.49,16,4,311.84
The Nameless City (The Nameless City #1),Sequential Art,£38.16,16,4,610.56
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,£51.04,16,2,816.64
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,£50.40,16,3,806.4
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,£13.61,16,5,217.76
"Pop Gun War, Volume 1: Gift",Sequential Art,£18.97,16,1,303.52
Patience,Sequential Art,£10.16,16,3,162.56
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,£15.44,16,4,247.04
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,£48.41,16,1,774.56
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,£46.91,16,2,750.56
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,£45.61,16,3,729.76
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,£19.92,16,2,318.72
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,£29.17,16,2,466.72
I am a Hero Omnibus Volume 1,Sequential Art,£54.63,16,3,874.08
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,£22.11,16,2,353.76
Danganronpa Volume 1,Sequential Art,£51.99,16,4,831.84
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,£36.72,16,4,587.52
Camp Midnight,Sequential Art,£17.08,16,4,273.28
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,£37.92,16,2,606.72
The Shadow Hero (The Shadow Hero),Sequential Art,£33.14,15,1,497.1
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,£41.62,15,4,624.3
Batman: The Long Halloween (Batman),Sequential Art,£36.50,15,2,547.5
Batman: The Dark Knight Returns (Batman),Sequential Art,£15.38,15,5,230.70000000000002
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,£37.34,14,4,522.76
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,£53.90,14,1,754.6
Through the Woods,Sequential Art,£25.38,14,2,355.32
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,£11.89,14,5,166.46
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,£35.43,14,4,496.02
Robin War,Sequential Art,£47.82,14,3,669.48
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,£25.48,14,2,356.72
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,£38.39,14,2,537.46
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,£51.51,14,2,721.14
El Deafo,Sequential Art,£57.62,14,5,806.68
Batman: Europa,Sequential Art,£32.01,14,2,448.14
Art Ops Vol. 1,Sequential Art,£48.80,14,3,683.1999999999999
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,£10.90,14,2,152.6
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,£33.95,9,4,305.55
Roller Girl,Sequential Art,£14.10,8,5,112.8
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,£19.57,7,1,136.99
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,£20.96,6,4,125.76
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,£36.39,6,3,218.34
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,£16.33,5,1,81.64999999999999
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,£52.41,5,1,262.04999999999995
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,£27.88,4,2,111.52
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,£50.44,4,4,201.76
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,£14.41,3,3,43.230000000000004
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,£55.55,3,5,166.64999999999998
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,£21.57,3,5,64.71000000000001
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,£43.63,3,3,130.89000000000001
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,£39.13,3,1,117.39000000000001
Original Fake,Sequential Art,£31.45,3,3,94.35
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,£42.72,3,1,128.16
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,£45.17,3,2,135.51
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,£49.31,3,1,147.93
Awkward,Sequential Art,£38.02,3,2,114.06
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,£54.81,2,1,109.62
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,£11.75,2,3,23.5
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,£11.64,2,5,23.28
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,£18.51,1,4,18.51
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,£36.52,1,2,36.52
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,£54.12,1,3,54.12
The Complete Maus (Maus #1-2),Sequential Art,£10.64,1,3,10.64
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,£42.12,1,3,42.12
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,£28.48,1,1,28.48
