Book,Type,Price,Stocks,Review,total_value
In Her Wake,Thriller,£12.84,19,1,243.96
The Elephant Tree,Thriller,£23.82,18,5,428.76
Behind Closed Doors,Thriller,£52.22,18,4,939.96
You (You #1),Thriller,£43.61,14,5,610.54
The Guilty (Will Robie #4),Thriller,£13.82,14,2,193.48000000000002
The 14th Colony (Cotton Malone #11),Thriller,£39.24,14,1,549.36
Give It Back,Thriller,£18.32,6,2,109.92
Killing Floor (Jack Reacher #1),Thriller,£31.49,5,4,157.45
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),Thriller,£59.71,4,3,238.84
Far From True (Promise Falls Trilogy #2),Thriller,£34.93,4,2,139.72
The Travelers,Thriller,£15.77,3,1,47.31
