Book,Type,Price,Stocks,Review,total_value
It's Only the Himalayas,Travel,£45.17,19,2,858.23
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,£49.43,15,4,741.45
See America: A Celebration of Our National Parks & Treasured Sites,Travel,£48.87,14,3,684.18
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,£36.94,8,2,295.52
Under the Tuscan Sun,Travel,£37.33,7,3,261.31
A Summer In Europe,Travel,£44.34,7,2,310.38
The Great Railway Bazaar,Travel,£30.54,6,1,183.24
A Year in Provence (Provence #1),Travel,£56.88,6,4,341.28000000000003
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,£23.21,3,1,69.63
Neither Here nor There: Travels in Europe,Travel,£38.95,3,3,116.85000000000001
"1,000 Places to See Before You Die",Travel,£26.08,1,5,26.08
