Book,Type,Price,Stocks,Review,total_value
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,£57.36,15,4,860.4
Will You Won't You Want Me?,Womens Fiction,£13.86,12,3,166.32
Keep Me Posted,Womens Fiction,£20.46,11,4,225.06
Grey (Fifty Shades #4),Womens Fiction,£48.49,11,4,533.39
Meternity,Womens Fiction,£43.58,7,3,305.06
Some Women,Womens Fiction,£13.73,4,5,54.92
Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,£48.39,4,5,193.56
Can You Keep a Secret?,Womens Fiction,£21.94,4,1,87.76
Twenties Girl,Womens Fiction,£42.80,3,2,128.39999999999998
The Undomestic Goddess,Womens Fiction,£45.75,3,4,137.25
The Nanny Diaries (Nanny #1),Womens Fiction,£52.53,3,5,157.59
The Devil Wears Prada (The Devil Wears Prada #1),Womens Fiction,£44.29,3,1,132.87
Something Borrowed (Darcy & Rachel #1),Womens Fiction,£48.96,3,5,146.88
Something Blue (Darcy & Rachel #2),Womens Fiction,£54.62,3,1,163.85999999999999
I've Got Your Number,Womens Fiction,£19.69,3,1,59.07000000000001
The Edge of Reason (Bridget Jones #2),Womens Fiction,£19.18,1,4,19.18
Bridget Jones's Diary (Bridget Jones #1),Womens Fiction,£29.82,1,1,29.82
