Book,Type,Price,Stocks,Review,total_value
The Requiem Red,Young Adult,£22.65,19,1,430.34999999999997
Set Me Free,Young Adult,£17.46,19,5,331.74
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,£45.22,16,3,723.52
Obsidian (Lux #1),Young Adult,£14.86,16,2,237.76
Burning,Young Adult,£28.81,16,3,460.96
A Fierce and Subtle Poison,Young Adult,£28.13,16,4,450.08
Scarlett Epstein Hates It Here,Young Adult,£43.55,15,5,653.25
"Nightingale, Sing",Young Adult,£38.28,15,1,574.2
Library of Souls (Miss Peregrine’s Peculiar Children #3),Young Adult,£48.56,15,5,728.4000000000001
Frostbite (Vampire Academy #2),Young Adult,£29.99,15,5,449.84999999999997
Wild Swans,Young Adult,£14.36,14,2,201.04
Until Friday Night (The Field Party #1),Young Adult,£46.31,14,2,648.34
This Is Where It Ends,Young Adult,£27.12,14,2,379.68
The Darkest Lie,Young Adult,£35.35,14,5,494.90000000000003
My Kind of Crazy,Young Adult,£40.36,14,1,565.04
Don't Get Caught,Young Adult,£55.35,14,1,774.9
Catching Jordan (Hundred Oaks),Young Adult,£50.83,14,3,711.62
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Young Adult,£58.14,14,4,813.96
The Epidemic (The Program 0.6),Young Adult,£14.44,12,5,173.28
Stars Above (The Lunar Chronicles #4.5),Young Adult,£48.05,12,2,576.5999999999999
No Love Allowed (Dodge Cove #1),Young Adult,£54.65,12,4,655.8
"Exit, Pursued by a Bear",Young Adult,£51.34,11,4,564.74
The Alien Club,Young Adult,£54.40,9,1,489.59999999999997
Don't Forget Steven,Young Adult,£33.23,9,1,299.07
South of Sunshine,Young Adult,£28.93,8,1,231.44
My Life Next Door (My Life Next Door ),Young Adult,£36.39,8,5,291.12
Future Shock (Future Shock #1),Young Adult,£55.65,8,5,445.2
Nightstruck: A Novel,Young Adult,£50.35,7,4,352.45
Tell the Wolves I'm Home,Young Adult,£50.96,6,2,305.76
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",Young Adult,£47.31,5,4,236.55
Where She Went (If I Stay #2),Young Adult,£41.73,5,4,208.64999999999998
Two Summers,Young Adult,£14.64,5,1,73.2
The Darkest Corners,Young Adult,£11.33,5,5,56.65
Tell Me Three Things,Young Adult,£41.81,5,1,209.05
Lola and the Boy Next Door (Anna and the French Kiss #2),Young Adult,£23.63,5,4,118.14999999999999
Kill the Boy Band,Young Adult,£15.52,5,5,77.6
Isla and the Happily Ever After (Anna and the French Kiss #3),Young Adult,£48.13,5,5,240.65
An Abundance of Katherines,Young Adult,£10.00,5,5,50.0
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),Young Adult,£24.17,4,4,96.68
Walk the Edge (Thunder Road #2),Young Adult,£32.36,3,3,97.08
Two Boys Kissing,Young Adult,£32.74,3,2,98.22
The New Guy (and Other Senior Year Distractions),Young Adult,£44.92,3,3,134.76
"The Land of 10,000 Madonnas",Young Adult,£29.64,3,4,88.92
Scarlet (The Lunar Chronicles #2),Young Adult,£14.57,3,4,43.71
Legend (Legend #1),Young Adult,£43.69,3,4,131.07
Lady Renegades (Rebel Belle #3),Young Adult,£53.04,3,5,159.12
Golden (Heart of Dread #3),Young Adult,£42.21,3,4,126.63
Cinder (The Lunar Chronicles #1),Young Adult,£26.09,3,1,78.27
Boy Meets Boy,Young Adult,£21.12,3,3,63.36
Annie on My Mind,Young Adult,£36.83,3,5,110.49
New Moon (Twilight #2),Young Adult,£12.86,2,4,25.72
Girl Online On Tour (Girl Online #2),Young Adult,£53.47,2,1,106.94
The Haters,Young Adult,£27.89,1,5,27.89
The Art of Not Breathing,Young Adult,£40.83,1,4,40.83
