Book,Type,Price,Stocks,Review,total_value
A Light in the Attic,Poetry,£51.77,22,3,1138.94
Tipping the Velvet,Historical Fiction,£53.74,20,1,1074.8
Soumission,Fiction,£50.10,20,1,1002.0
Sharp Objects,Mystery,£47.82,20,4,956.4
Sapiens: A Brief History of Humankind,History,£54.23,20,5,1084.6
The Dirty Little Secrets of Getting Your Dream Job,Business,£33.34,19,4,633.46
The Black Maria,Poetry,£52.15,19,1,990.85
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,£52.29,19,5,993.51
Rip it Up and Start Again,Music,£35.02,19,5,665.3800000000001
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,£57.25,19,3,1087.75
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,£37.59,19,1,714.21
Libertarianism for Beginners,Politics,£51.33,19,2,975.27
It's Only the Himalayas,Travel,£45.17,19,2,858.23
How Music Works,Music,£37.32,19,2,709.08
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,£30.52,19,3,579.88
Chase Me (Paris Nights #2),Romance,£25.27,19,5,480.13
Black Dust,Romance,£34.53,19,5,656.07
Birdsong: A Story in Pictures,Childrens,£54.64,19,3,1038.16
Aladdin and His Wonderful Lamp,Default,£53.13,19,3,1009.47
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,£40.30,18,5,725.4
Wall and Piece,Art,£44.18,18,4,795.24
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,£31.05,18,3,558.9
The Bear and the Piano,Childrens,£36.89,18,1,664.02
Penny Maybe,Default,£33.29,18,3,599.22
Behind Closed Doors,Thriller,£52.22,18,4,939.96
You can't bury them all: Poems,Poetry,£33.63,17,2,571.71
Slow States of Collapse: Poems,Poetry,£57.31,17,3,974.27
Reasons to Stay Alive,Nonfiction,£26.41,17,2,448.97
Private Paris (Private #10),Fiction,£47.61,17,5,809.37
Without Borders (Wanderlove #1),New Adult,£45.07,16,2,721.12
When We Collided,Contemporary,£31.77,16,1,508.32
"We Love You, Charlie Freeman",Fiction,£50.27,16,5,804.32
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,£44.18,16,4,706.88
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,£25.52,16,1,408.32
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,£31.12,16,3,497.92
The Secret of Dreadwillow Carse,Childrens,£56.13,16,1,898.08
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,£56.41,16,1,902.56
The Past Never Ends,Mystery,£56.50,16,4,904.0
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,£45.22,16,3,723.52
