Book,Type,Price,Stocks,Review,total_value
World Without End (The Pillars of the Earth #2),Historical Fiction,£32.97,5,4,164.85
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",Young Adult,£47.31,5,4,236.55
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,Nonfiction,£48.67,5,2,243.35000000000002
Where She Went (If I Stay #2),Young Adult,£41.73,5,4,208.64999999999998
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Default,£53.68,5,4,268.4
Two Summers,Young Adult,£14.64,5,1,73.2
This Is Your Brain on Music: The Science of a Human Obsession,Music,£38.40,5,1,192.0
The Secret Garden,Classics,£15.08,5,4,75.4
The Raven King (The Raven Cycle #4),Add a comment,£30.57,5,2,152.85
The Raven Boys (The Raven Cycle #1),Fantasy,£57.74,5,4,288.7
The Power Greens Cookbook: 140 Delicious Superfood Recipes,Food and Drink,£11.05,5,5,55.25
The Metamorphosis,Classics,£28.58,5,1,142.89999999999998
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,History,£42.91,5,5,214.54999999999998
The Little Paris Bookshop,Fiction,£24.73,5,3,123.65
The Hiding Place,History,£55.91,5,4,279.54999999999995
The Grand Design,Science,£13.76,5,3,68.8
The Firm,Fiction,£45.56,5,3,227.8
The Fault in Our Stars,Default,£47.22,5,1,236.1
The False Prince (The Ascendance Trilogy #1),Fantasy,£56.00,5,5,280.0
The Expatriates,Fiction,£44.58,5,2,222.89999999999998
The Dream Thieves (The Raven Cycle #2),Default,£34.50,5,1,172.5
The Darkest Corners,Young Adult,£11.33,5,5,56.65
The Crossover,Poetry,£38.77,5,4,193.85000000000002
The 5th Wave (The 5th Wave #1),Default,£11.83,5,2,59.15
Tell the Wind and Fire,Fantasy,£45.51,5,3,227.54999999999998
Tell Me Three Things,Young Adult,£41.81,5,1,209.05
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Nonfiction,£25.15,5,4,125.75
Siddhartha,Fiction,£34.22,5,5,171.1
Shiver (The Wolves of Mercy Falls #1),Default,£16.23,5,5,81.15
Remember Me?,Default,£11.48,5,3,57.400000000000006
Red Dragon (Hannibal Lecter #1),Horror,£23.37,5,3,116.85000000000001
Peak: Secrets from the New Science of Expertise,Science,£16.28,5,2,81.4
My Mother Was Nuts,Nonfiction,£31.63,5,4,158.15
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,Food and Drink,£24.91,5,5,124.55
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,£22.54,5,1,112.69999999999999
Lola and the Boy Next Door (Anna and the French Kiss #2),Young Adult,£23.63,5,4,118.14999999999999
Logan Kade (Fallen Crest High #5.5),Academic,£13.12,5,2,65.6
Last One Home (New Beginnings #1),Fiction,£59.98,5,3,299.9
Killing Floor (Jack Reacher #1),Thriller,£31.49,5,4,157.45
Kill the Boy Band,Young Adult,£15.52,5,5,77.6
Isla and the Happily Ever After (Anna and the French Kiss #3),Young Adult,£48.13,5,5,240.65
If I Stay (If I Stay #1),Default,£38.13,5,5,190.65
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Default,£36.55,5,2,182.75
Harry Potter and the Deathly Hallows (Harry Potter #7),Default,£23.32,5,1,116.6
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,£16.33,5,1,81.64999999999999
Foundation (Foundation (Publication Order) #1),Science Fiction,£32.42,5,1,162.10000000000002
Fool Me Once,Default,£16.96,5,1,84.80000000000001
Find Her (Detective D.D. Warren #8),Add a comment,£22.37,5,1,111.85000000000001
Evicted: Poverty and Profit in the American City,Add a comment,£42.27,5,1,211.35000000000002
Drama,Default,£38.70,5,2,193.5
Dracula the Un-Dead,Horror,£35.63,5,5,178.15
